",title,ticket_price,Day of the Week,Theater Type"
"0,Avatar,235.0,Weekday,single screen"
"1,Pirates of the Caribbean: At World's End,184.86,Weekday,multiplex"
"2,Spectre,109.57,Weekend,single screen"
"3,The Dark Knight Rises,489.55,Weekday,multiplex"
"4,John Carter,404.85,Weekday,single screen"
"5,Spider-Man 3,449.82,Weekday,multiplex"
"6,Tangled,519.08,Weekday,multiplex"
"7,Avengers: Age of Ultron,501.41,Weekend,single screen"
"8,Harry Potter and the Half-Blood Prince,580.46,Weekday,single screen"
"9,Batman v Superman: Dawn of Justice,367.97,Weekend,multiplex"
"10,Superman Returns,344.25,Weekend,multiplex"
"11,Quantum of Solace,300.94,Weekday,single screen"
"12,Pirates of the Caribbean: Dead Man's Chest,176.85,Weekend,single screen"
"13,The Lone Ranger,386.3,Weekend,multiplex"
"14,Man of Steel,238.51,Weekend,single screen"
"15,The Chronicles of Narnia: Prince Caspian,560.65,Weekday,multiplex"
"16,The Avengers,391.6,Weekend,multiplex"
"17,Pirates of the Caribbean: On Stranger Tides,396.42,Weekend,single screen"
"18,Men in Black 3,277.46,Weekend,single screen"
"19,The Hobbit: The Battle of the Five Armies,125.99,Weekday,single screen"
"20,The Amazing Spider-Man,115.87,Weekend,single screen"
"21,Robin Hood,311.67,Weekday,single screen"
"22,The Hobbit: The Desolation of Smaug,142.28,Weekday,multiplex"
"23,The Golden Compass,403.42,Weekday,multiplex"
"24,King Kong,540.49,Weekday,single screen"
"25,Titanic,541.46,Weekday,single screen"
"26,Captain America: Civil War,429.52,Weekday,single screen"
"27,Battleship,205.62,Weekend,multiplex"
"28,Jurassic World,531.5,Weekday,single screen"
"29,Skyfall,205.0,Weekend,single screen"
"30,Spider-Man 2,541.0,Weekend,multiplex"
"31,Iron Man 3,198.33,Weekday,multiplex"
"32,Alice in Wonderland,468.71,Weekend,single screen"
"33,X-Men: The Last Stand,243.26,Weekend,single screen"
"34,Monsters University,501.32,Weekend,single screen"
"35,Transformers: Revenge of the Fallen,598.62,Weekend,multiplex"
"36,Transformers: Age of Extinction,115.01,Weekday,single screen"
"37,Oz: The Great and Powerful,548.68,Weekend,single screen"
"38,The Amazing Spider-Man 2,411.32,Weekday,single screen"
"39,TRON: Legacy,586.69,Weekend,multiplex"
"40,Cars 2,332.5,Weekend,multiplex"
"41,Green Lantern,523.69,Weekday,single screen"
"42,Toy Story 3,131.2,Weekend,single screen"
